scv  0.190 S 12 0 0
snd  0.354 SA 79 0 13
rcv  0.424 A 13 0 80
rcv  0.985 D 13 0 80
snd  0.985 D 13 40 80
rcv  0.985 D 53 0 53
snd  0.985 D 53 40 53
rcv  1.983 D 93 0 93
snd  1.983 D 93 40 93
rcv  1.983 D 133 0 93
snd  1.983 D 133 40 93
rcv  1.983 D 173 0 133
snd  1.983 D 173 40 133
rcv  1.984 D 213 0 173
snd  1.984 D 213 40 173
rcv  1.984 D 253 0 213
snd  1.984 D 253 40 213
rcv  1.984 D 293 0 253
snd  1.984 D 293 40 253
rcv  1.984 D 333 0 293
snd  1.984 D 333 40 293
rcv  1.984 D 373 0 333
snd  1.984 D 373 40 333
rcv  1.984 D 413 0 373
snd  1.984 D 413 40 373
rcv  1.984 D 453 0 413
snd  1.984 D 453 40 413
rcv  1.984 D 493 0 453
snd  1.984 D 493 40 453
rcv  1.984 D 573 0 533
snd  1.984 D 573 40 533
rcv  1.985 D 613 0 533
snd  1.985 D 613 40 533
rcv  1.985 D 653 0 533
snd  1.985 D 653 40 533
rcv  1.985 D 693 0 533
snd  1.985 D 693 40 533
rcv  1.985 D 733 0 533
snd  1.985 D 733 40 533
rcv  1.985 D 773 0 533
snd  1.985 D 773 40 533
rcv  1.985 D 813 0 533
snd  1.985 D 813 40 533
rcv  1.985 D 853 0 533
snd  1.985 D 853 40 533
rcv  1.985 D 893 0 533
snd  1.986 D 893 40 533
rcv  2.982 D 533 0 533
snd  2.982 D 533 40 533
snd  2.983 D 533 40 533
snd  2.983 D 533 40 533
snd  2.983 D 533 40 533
snd  2.983 D 533 40 533
snd  2.983 D 533 40 533
snd  2.983 D 533 40 533
snd  2.983 D 533 40 533
snd  2.983 D 533 40 533
snd  2.983 D 533 40 533
rcv  2.983 D 933 0 613
snd  2.983 D 933 40 613
rcv  2.983 D 973 0 653
snd  2.983 D 973 40 653
rcv  2.983 D 1093 0 773
snd  2.983 D 1093 40 773
rcv  2.983 D 1133 0 813
snd  2.983 D 1133 40 813
rcv  2.983 D 1173 0 853
snd  2.984 D 1173 40 853
rcv  2.984 D 1213 0 893
snd  2.984 D 1213 40 893
rcv  2.984 D 1253 0 933
snd  2.984 D 1253 40 933
rcv  2.984 D 1293 0 933
snd  2.984 D 1293 40 933
rcv  2.984 D 1373 0 1013
snd  2.984 D 1373 40 1013
rcv  3.987 D 1013 0 1013
snd  3.987 D 1013 40 1013
rcv  3.987 D 1413 0 1053
snd  3.987 D 1413 40 1053
rcv  4.989 D 1053 0 1053
snd  4.989 D 1053 40 1053
snd  4.989 D 1053 40 1053
snd  4.989 D 1053 40 1053
snd  4.989 D 1053 40 1053
snd  4.989 D 1053 40 1053
snd  4.989 D 1053 40 1053
snd  4.989 D 1053 40 1053
rcv  4.989 D 1453 0 1133
snd  4.989 D 1453 40 1133
rcv  4.989 D 1533 0 1213
snd  4.989 D 1533 40 1213
rcv  4.989 D 1573 0 1253
snd  4.990 D 1573 40 1253
rcv  4.990 D 1653 0 1333
snd  4.990 D 1653 40 1333
rcv  4.990 D 1693 0 1333
snd  4.990 D 1693 40 1333
rcv  5.990 D 1333 0 1333
snd  5.990 D 1333 40 1333
snd  5.990 D 1333 40 1333
snd  5.990 D 1333 40 1333
snd  5.991 D 1333 40 1333
rcv  5.991 D 1733 0 1413
snd  5.991 D 1733 40 1413
rcv  5.991 D 1773 0 1453
snd  5.991 D 1773 40 1453
rcv  5.991 D 1813 0 1493
snd  5.991 D 1813 40 1493
rcv  6.994 D 1493 0 1493
snd  6.994 D 1493 40 1493
snd  6.994 D 1493 40 1493
snd  6.994 D 1493 40 1493
rcv  6.994 D 1893 0 1573
snd  6.994 D 1893 40 1573
rcv  6.994 D 1933 0 1613
snd  6.994 D 1933 34 1613
rcv  7.996 D 1613 0 1613
snd  7.996 D 1613 40 1613
snd  7.996 D 1613 40 1613
snd  7.996 D 1613 40 1613
snd  7.996 D 1613 40 1613
snd  7.996 D 1613 40 1613
snd  7.996 D 1613 40 1613
rcv  8.998 D 1853 0 1853
snd  8.998 D 1853 40 1853
snd  8.998 D 1853 34 1853
snd  8.998 D 1853 40 1853
rcv  8.998 D 1973 0 1967
rcv  8.998 F 1973 0 1967
snd  8.998 A 1967 0 1974
snd  8.998 FA 1974 0 1968
rcv  8.998 A 1974 0 1968
